,name,id,link
239,Gus Kahn,c9100b98-6a64-453a-94a6-21bb17eb9e36,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/c9100b98-6a64-453a-94a6-21bb17eb9e36
240,Harry Gifford,e2bdf494-1d17-4408-ab8c-e42e0368289f,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e2bdf494-1d17-4408-ab8c-e42e0368289f
241,Irving Caesar,fb97c257-4f7b-4941-8b1d-0b9b78305a3e,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/fb97c257-4f7b-4941-8b1d-0b9b78305a3e
242,Jacques Charles,a4961254-c9b8-43ed-bab0-624c4c816a3a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a4961254-c9b8-43ed-bab0-624c4c816a3a
243,Joe Young,7871da09-bb85-4a08-90ca-dedd42a55e56,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/7871da09-bb85-4a08-90ca-dedd42a55e56
244,John Crook,e9c02e39-23ed-4e33-bdf0-5f246f614c5d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e9c02e39-23ed-4e33-bdf0-5f246f614c5d
245,Johnnie Camacho,a097c5a5-2a5d-4e27-aa50-9f1772132d9e,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a097c5a5-2a5d-4e27-aa50-9f1772132d9e
246,Oscar Hammerstein Ii,dc997000-8778-4483-8c21-0314b55e9e99,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/dc997000-8778-4483-8c21-0314b55e9e99
247,Otto Harbach,cbcfb5a5-5b51-4107-a827-9f8dff0efd36,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/cbcfb5a5-5b51-4107-a827-9f8dff0efd36
248,Pat Johnston,7dfa9ab2-7e97-4de7-aebf-2ea3f22880c5,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/7dfa9ab2-7e97-4de7-aebf-2ea3f22880c5
249,Paul Cunningham,57c3bf1a-9cdc-4c66-b594-6ef8755995d8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/57c3bf1a-9cdc-4c66-b594-6ef8755995d8
250,Sigmund Romberg,fe424612-5ffe-4d97-aa13-4155f970a8f0,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/fe424612-5ffe-4d97-aa13-4155f970a8f0
251,Tommy James,a937fcca-8dfb-4a87-a5be-dbd730c2ad04,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a937fcca-8dfb-4a87-a5be-dbd730c2ad04
252,Will Mahoney,fdde299f-66ef-47c1-980a-ef0ae53d03a9,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/fdde299f-66ef-47c1-980a-ef0ae53d03a9
253,Arthur Francis,a326949b-d52e-4a43-b6ed-e0f9b420333d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a326949b-d52e-4a43-b6ed-e0f9b420333d
254,"""Zez"" Confrey",33936097-291c-47c2-a605-c5c2960b29d6,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/33936097-291c-47c2-a605-c5c2960b29d6
